Video Name:,Out Routes,,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,,
Video #,Pre Snap,Ball Snap,Pass Block,Snap Receive,Run Out Route,Throw Pass,Secure Catch,Ball Carry,End of Play
1,"0,ALL",-,"12,OL","14,17","16,19","55,65,10","89,19","91,19",Tac
2,"0,ALL",-,"23,OL","29,12","57,19","71,77,12","104,19","108,19",Tac
3,"0,ALL",-,"-,OL","14,16","14,0","46,54,14","85,0","89,0",OOB
4,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
5,"0,ALL",-,"8,OL","17,18","17,0","53,65,18","84,6","86,6",OOB
6,"0,ALL",-,"15,OL","24,3","24,12","55,68,13","91,21","95,21",OOB
7,"0,ALL",-,"6,OL","9,13","9,14,3","63,70,13","93,14","101,14",Tac
8,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
9,"0,ALL",-,"6,OL","13,21","13,7","73,21","105,7","111,7",Tac
10,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
11,"0,ALL",-,"6,OL","10,13","10,0","64,72,13","98,0","107,0",OOB
12,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
13,"0,ALL",-,"13,OL","20,7","20,3","55,64,7","83,3","91,3",OOB
14,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
15,"0,ALL",-,"9,OL","16,8","16,9,1","68,76,8","92,9","101,9",OOB
16,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
17,"0,ALL",-,"26,OL","33,20","33,8","87,95,20","116,8","124,8",Tac
18,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
19,"0,ALL",-,"1,OL","3,15","3,3","46,51,15","73,3","78,3",OOB
20,"0,ALL",-,"-,OL",-,-,-,-,"85,3",OOB
21,"0,ALL",-,"10,OL","19,16","19,3","45,56,16","76,3","85,3",OOB
22,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
23,"0,ALL",-,"32,OL","38,15","38,7","77,85,15","110,7","128,7",OOB
24,"0,ALL",-,"-,OL",-,-,"100,111,14","141,0","150,0",Tac
25,"0,ALL",-,"16,OL","21,14","21,0",-,-,-,Tac
26,"0,ALL",-,"-,OL",-,-,-,-,"99,4",TD
27,"0,ALL",-,"14,OL","19,9","14,11","61,69,11","90,11","99,4",TD
28,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
29,"0,ALL",-,"22,OL","26,12","23,2","57,66,12","87,2","92,2",Tac
30,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
31,"0,ALL",-,"11,OL","14,7","14,1","86,93,9","129,1","138,1",OOB
32,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
33,"0,ALL",-,"2,OL","3,15","3,1","36,49,15","75,1","87,1",Tac
34,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
35,"0,ALL",-,"30,OL","36,15","36,1,3","81,91,15","107,3","118,3",Tac
36,"0,ALL",-,"-,OL",-,-,"66,73,14","98,0","108,0",TD
37,"0,ALL",-,"17,OL","20,14","20,0",-,-,-,TD
38,"0,ALL",-,"26,OL","29,13","29,19,4","81,94,13","118,19","127,19",Tac
39,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
40,"0,ALL",-,"31,OL","37,8","37,7","121,130,8","142,25","150,25",Tac
41,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
42,"0,ALL",-,"29,OL","33,16","33,6","61,70,16","94,6","101,6",Tac
43,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
44,"0,ALL",-,"12,OL","16,17","16,1","47,59,17","90,1","99,1",OOB
45,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
46,"0,ALL",-,"13,OL","17,1","17,2","44,50,1","72,2","80,2",Tac
47,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
48,"0,ALL",-,"67,OL","74,18","74,2","117,129,18","150,2","161,2",Tac
49,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
50,"0,ALL",-,"15,OL","20,16","20,23","43,53,16","71,23","80,23",OOB
51,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
52,"0,ALL",-,"27,OL","31,14","31,1,4,0","60,70,14","87,1","94,1",Tac
53,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
54,"0,ALL",-,"17,OL","20,8","20,6,0","51,60,8","83,6","92,6",Tac
55,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
56,"0,ALL",-,"15,OL","20,11","20,0","54,65,11","86,0","90,0",Tac
57,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
58,"0,ALL",-,"21,OL","27,10","27,4","70,81,10","101,4","109,4",Tac
59,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
60,"0,ALL",-,"15,OL","21,18","21,7","63,72,18","101,7","108,7",Tac
61,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
62,"0,ALL",-,"38,OL","44,4","44,11","109,120,4","137,11","143,11",Tac
63,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
64,"0,ALL",-,"7,OL","11,21","11,0,1","38,48,21","75,0","82,0",Tac
65,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
66,"0,ALL",-,"30,OL","35,21","35,9,12","63,73,21","98,1","108,1",Tac
67,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
68,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
69,"0,ALL",-,"22,OL","28,15","29,1","78,83,15","116,1","125,1",TD
70,"0,ALL",-,"-,OL",-,-,-,-,-,TD
71,"0,ALL",-,"5,OL","11,11","11,2","64,73,11","100,2","109,2",Tac
72,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
73,"0,ALL",-,"11,OL","16,19","16,1","54,68,19","94,1","100,1",OOB
74,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
75,"0,ALL",-,"30,OL","36,13","36,9","79,88,13","107,9","115,9",Tac
76,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
77,"0,ALL",-,"25,OL","30,10","30,2,1","70,79,10","112,2","123,2",OOB
78,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
79,"0,ALL",-,"22,OL","27,11","27,1","60,67,11","91,1","97,1",Tac
80,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
81,"0,ALL",-,"22,OL","27,18","27,1,16","75,86,18","102,16","112,16",OOB
82,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
83,"0,ALL",-,"18,OL","23,12","23,2","78,87,12","113,2","120,2",OOB
84,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
85,"0,ALL",-,"16,OL","21,12","21,0,1","55,64,12","94,1","101,1",OOB
86,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
87,"0,ALL",-,"12,OL","17,15","17,0,2","52,59,15","84,2","92,2",Tac
88,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
89,"0,ALL",-,"46,OL","50,17","50,0","82,97,17","130,0","140,0",Tac
90,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
91,"0,ALL",-,"15,OL","20,11","20,5","59,69,11","92,5","107,5",Tac
92,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
93,"0,ALL",-,"1,OL","7,12","7,3","46,56,12","77,3","87,3",OOB
94,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
95,"0,ALL",-,"23,OL","29,13","29,4","64,73,13","99,4","107,4",OOB
96,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
97,"0,ALL",-,"30,OL","36,15","36,9","76,84,15","116,9","128,9",Tac
98,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
99,"0,ALL",-,"12,OL","17,20","17,17","49,57,18","81,17","92,17",OOB
100,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
101,"0,ALL",-,"21,OL","27,12","27,1","59,68,12","92,1","103,1",TD
102,"0,ALL",-,"-,OL",-,-,-,-,-,TD
103,"0,ALL",-,"13,OL","17,17","17,10","60,69,13","93,10","102,10",OOB
104,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
105,"0,ALL",-,"29,OL","34,14","34,3","69,79,14","102,3","110,3",Tac
106,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
107,"0,ALL",-,"21,OL","26,15","26,1","63,72,15","99,1","106,1",OOB
108,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
109,"0,ALL",-,"15,OL","21,18","21,1","79,87,18","103,1","116,1",OOB
110,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
111,"0,ALL",-,"28,OL","33,16","33,3","69,79,16","98,3","119,3",Tac
112,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
113,"0,ALL",-,"3,OL","7,16","7,7","56,65,9","82,7","98,7",Tac
114,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
115,"0,ALL",-,"82,OL","90,19","90,2","130,141,19","162,2","173,2",OOB
116,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
117,"0,ALL",-,"41,OL","47,17","47,4,2","86,96,17","111,4","120,4",OOB
118,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
119,"0,ALL",-,"18,OL","22,12","22,1,5","59,70,12","93,1","102,1",OOB
120,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
121,"0,ALL",-,"16,OL","21,10","21,3,16","59,71,10","92,3","102,3",OOB
122,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
123,"0,ALL",-,"36,OL","40,20","40,0","87,97,20","128,0","137,0",Tac
124,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
125,"0,ALL",-,"15,OL","20,13","20,6","57,65,13","87,6","96,6",OOB
126,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
127,"0,ALL",-,"16,OL","16,16","16,6","81,91,14","112,6","121,6",OOB
128,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
129,"0,ALL",-,"13,OL","18,16","18,1","53,63,16","91,1","100,1",Tac
130,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
131,"0,ALL",-,"30,OL","38,11","38,3","104,110,11","141,3","154,3",Tac
132,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
133,"0,ALL",-,"16,OL","21,8","21,20","60,70,8","92,20","103,20",Tac
134,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
135,"0,ALL",-,"-,OL",-,-,-,-,-,-
136,"0,ALL",-,"-,OL",-,-,-,-,-,-
137,"0,ALL",-,"34,OL","40,2","40,4","94,104,2","126,4","136,4",OOB
138,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
139,"0,ALL",-,"20,OL","30,18","30,5,1","71,80,18","99,5","110,5",OOB
140,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
141,"0,ALL",-,"14,OL","19,5","19,8","57,65","81,8","88,8",Tac
142,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
143,"0,ALL",-,"3,OL","7,14","7,17","66,74,17","92,17","103,17",Tac
144,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
145,"0,ALL",-,"9,OL","19,14","19,7,8","57,66,14","84,8","94,8",Tac
146,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
147,"0,ALL",-,"20,OL","27,18","27,1","75,82,18","107,1","117,1",OOB
148,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
149,"0,ALL",-,"8,OL","13,7","13,4","50,60,6","82,4","96,4",OOB
150,"0,ALL",-,"-,OL",-,-,-,-,-,OOB
151,"0,ALL",-,"8,OL","12,9","12,0","47,55,9","78,0","87,0",Tac
152,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
153,"0,ALL",-,"11,OL","16,7","16,3,4,1","52,57,7","74,3","94,3",Tac
154,"0,ALL",-,"-,OL",-,-,-,-,-,Tac
